2024-08-28 18:02:53,001 [main] INFO  o.a.i.c.c.ConfigNodeDescriptor:125 - start reading ConfigNode conf file: file:/data/iotdb/t_m_0827_db02fdf/sbin/../conf/iotdb-system.properties 
2024-08-28 18:02:53,026 [main] INFO  c.t.i.service.ConfigNode:40 - IoTDB-ConfigNode environment variables: 
	CONFIGNODE_HOME=/data/iotdb/t_m_0827_db02fdf/sbin/..;
	CONFIGNODE_CONF=/data/iotdb/t_m_0827_db02fdf/sbin/../conf; 
2024-08-28 18:02:53,027 [main] INFO  c.t.i.service.ConfigNode:44 - IoTDB-ConfigNode default charset is: UTF-8 
2024-08-28 18:02:53,032 [main] INFO  o.a.i.c.s.ConfigNode:138 - Starting IoTDB 1.4.0-SNAPSHOT (Build: db02fdf) 
2024-08-28 18:02:53,034 [main] INFO  o.a.i.c.c.ConfigNodeStartupCheck:65 - configNode port check successful. 
2024-08-28 18:02:53,034 [main] INFO  o.a.i.c.s.StartupChecks:50 - Start JMX locally. 
2024-08-28 18:02:53,035 [main] INFO  o.a.i.c.s.StartupChecks:78 - JDK version is 8. 
2024-08-28 18:02:53,035 [main] INFO  o.a.i.c.s.StartupChecks:84 - JVM version is Java HotSpot(TM) 64-Bit Server VM 25.191-b12. 
2024-08-28 18:02:53,055 [main] INFO  o.a.i.c.s.ConfigNode:184 - Activating IoTDB-ConfigNode... 
2024-08-28 18:02:53,056 [main] INFO  o.a.i.c.s.RegisterManager:54 - The JMX ServerService service is started successfully, which takes 0 ms. 
2024-08-28 18:02:53,127 [main] INFO  o.a.i.c.p.c.PipeConfig:314 - PipeNonForwardingEventsProgressReportInterval: 100 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:318 - PipeHardlinkBaseDirName: pipe 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:319 - PipeHardlinkTsFileDirName: tsfile 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:320 - PipeHardlinkWALDirName: wal 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:321 - PipeHardLinkWALEnabled: false 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:323 - PipeDataStructureTabletRowSize: 2048 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:324 - PipeDataStructureTabletMemoryBlockAllocationRejectThreshold: 0.4 
2024-08-28 18:02:53,128 [main] INFO  o.a.i.c.p.c.PipeConfig:328 - PipeRealTimeQueuePollHistoryThreshold: 100 
2024-08-28 18:02:53,129 [main] INFO  o.a.i.c.p.c.PipeConfig:331 - PipeSubtaskExecutorMaxThreadNum: 4 
2024-08-28 18:02:53,129 [main] INFO  o.a.i.c.p.c.PipeConfig:332 - PipeSubtaskExecutorBasicCheckPointIntervalByConsumedEventCount: 10000 
2024-08-28 18:02:53,129 [main] INFO  o.a.i.c.p.c.PipeConfig:335 - PipeSubtaskExecutorBasicCheckPointIntervalByTimeDuration: 10000 
